Kalendertext|Datum|Tag|Text für den Chat|Passage 1|Passage 2|Passage 3|Passage 4|Passage 5|Passage 6|Passage 7|Passage 8|Passage 9
2Sa 13; Apg 23|11.05.18|131||2. Samuel 13|Apostelgeschichte 23|||||||
2Sa 14 – 15; Apg 24|12.05.18|132||2. Samuel 14|2. Samuel 15|Apostelgeschichte 24||||||
Ps 35 u 36|13.05.18|133||Psalm 35|Psalm 36|||||||
2Sa 16 – 17; Apg 25|14.05.18|134||2. Samuel 16|2. Samuel 17|Apostelgeschichte 25||||||
2Sa 18 – 19; Apg 26|15.05.18|135||2. Samuel 18|2. Samuel 19|Apostelgeschichte 26||||||
2Sa 20 – 21; Apg 27|16.05.18|136||2. Samuel 20|2. Samuel 21|Apostelgeschichte 27||||||
2Sa 22 – 23                                                                                                                                                       ,7; Apg 28|17.05.18|137||2. Samuel 22|2. Samuel 23:1-7|Apostelgeschichte 28||||||
2Sa 23                                                                                                                                                            ,8 - 24|18.05.18|138||2. Samuel 23:8-28|2. Samuel 24|||||||
frei|19.05.18|139||||||||||
Ps 37|20.05.18|140||Psalm 37||||||||
Pfingstmontag; Frei|21.05.18|141||||||||||
frei|22.05.18|142||||||||||
frei|23.05.18|143||||||||||
frei|24.05.18|144||||||||||
CVH Einleitungsfragen|25.05.18|145||||||||||
frei|26.05.18|146||||||||||
Ps 38 u. 39|27.05.18|147||Psalm 38|Psalm 39|||||||
frei|28.05.18|148||||||||||
frei|29.05.18|149||||||||||
frei|30.05.18|150||||||||||
frei|31.05.18|151||||||||||
Ru 1-2; Phil|01.06.18|152||Rut 1|Rut 2|Philemon 1||||||
Ru 2-3; Judas|02.06.18|153||Rut 3|Judas 1|||||||
Ps 40 u. 41|03.06.18|154||Psalm 40|Psalm 41|||||||
CVH-kompakt; Frei|04.06.18|155||||||||||
CVH-kompakt|05.06.18|156||||||||||
CVH-kompakt|06.06.18|157||||||||||
CVH-kompakt|07.06.18|158||||||||||
CVH-kompakt; CVH-Einleitungsfragen|08.06.18|159||||||||||
frei|09.06.18|160||||||||||
Ps 42 u. 43|10.06.18|161||Psalm 42|Psalm 43|||||||
Jes 1 – 2; Rö 1|11.06.18|162||Jesaja 1|Jesaja 2|Römer 1||||||
Jes 3 – 4; Rö 2|12.06.18|163||Jesaja 3|Jesaja 4|Römer 2||||||
Jes 5 – 6; Rö 3|13.06.18|164||Jesaja 5|Jesaja 6|Römer 3||||||
Jes 7 – 8; Rö 4|14.06.18|165||Jesaja 7|Jesaja 8|Römer 4||||||
Jes 9 – 10; Rö 5|15.06.18|166||Jesaja 9|Jesaja 10|Römer 5||||||
Jes 11 – 12; Rö 6|16.06.18|167||Jesaja 11|Jesaja 12|Römer 6||||||
Ps 44|17.06.18|168||Psalm 44||||||||
Jes 13 – 14; Rö 7|18.06.18|169||Jesaja 13|Jesaja 14|Römer 7||||||
Jes 15 – 17; Rö 8|19.06.18|170||Jesaja 15|Jesaja 16|Jesaja 17|Römer 8|||||
Jes 18 – 19; Rö 9|20.06.18|171||Jesaja 18|Jesaja 19|Römer 9||||||
Jes 20 – 21; Rö 10|21.06.18|172||Jesaja 20|Jesaja 21|Römer 10||||||
Jes 22 – 23; Rö 11|22.06.18|173||Jesaja 22|Jesaja 23|Römer 11||||||
Jes 24 – 25; Rö 12|23.06.18|174||Jesaja 24|Jesaja 25|Römer 12||||||
Ps 45|24.06.18|175||Psalm 45||||||||
Jes 26 – 27; Rö 13|25.06.18|176||Jesaja 26|Jesaja 27|Römer 13||||||
Jes 28 – 29; Rö 14|26.06.18|177||Jesaja 28|Jesaja 29|Römer 14||||||
Jes 30 – 31; Rö 15|27.06.18|178||Jesaja 30|Jesaja 31|Römer 15||||||
Jes 32 – 33; Rö 16|28.06.18|179||Jesaja 32|Jesaja 33|Römer 16||||||
Jes 34 – 35; 1Thess 1|29.06.18|180||Jesaja 34|Jesaja 35|1.Thessalonicher 1||||||
Jes 36 – 37; 1Thess2|30.06.18|181||Jesaja 36|Jesaja 37|1.Thessalonicher 2||||||
Ps 46 u. 47|01.07.18|182||Psalm 46|Psalm 47|||||||
Jes 38- 39; 1Thess 3|02.07.18|183||Jesaja 38|Jesaja 39|1.Thessalonicher 3||||||
Jes 40; 1Thess 4|03.07.18|184||Jesaja 40|1.Thessalonicher 4|||||||
Jes 41 – 42; 1Thess 5|04.07.18|185||Jesaja 41|Jesaja 42|1.Thessalonicher 5||||||
Jes 43; 2Thess 1|05.07.18|186||Jesaja 43|2.Thessalonicher 1|||||||
Jes 44 – 45; 2Thess 2|06.07.18|187||Jesaja 44|Jesaja 45|2.Thessalonicher 2||||||
Jes 46 – 48; 2Thess 3|07.07.18|188||Jesaja 46|Jesaja 47|Jesaja 48|2.Thessalonicher 3|||||
Ps 48 u. 49|08.07.18|189||Psalm 48|Psalm 49|||||||
Jes 49 – 51|09.07.18|190||Jesaja 49|Jesaja 50|Jesaja 51||||||
Jes 52 – 54|10.07.18|191||Jesaja 52|Jesaja 53|Jesaja 54||||||
Jes 55 - 57|11.07.18|192||Jesaja 55|Jesaja 56|Jesaja 57||||||
Jes 58 – 60|12.07.18|193||Jesaja 58|Jesaja 59|Jesaja 60||||||
Jes 61 - 63|13.07.18|194||Jesaja 61|Jesaja 62|Jesaja 63||||||
Jes 64- 66|14.07.18|195||Jesaja 64|Jesaja 65|Jesaja 66||||||
Ps 50|15.07.18|196||||||||||
Frei|16.07.18|197||||||||||
Frei|17.07.18|198||||||||||
Frei|18.07.18|199||||||||||
Frei|19.07.18|200||||||||||
Frei|20.07.18|201||||||||||
Frei|21.07.18|202||||||||||
Frei|22.07.18|203||||||||||
Frei|23.07.18|204||||||||||
Frei|24.07.18|205||||||||||
Frei|25.07.18|206||||||||||
Frei|26.07.18|207||||||||||
Frei|27.07.18|208||||||||||
Frei|28.07.18|209||||||||||
Frei|29.07.18|210||||||||||
Frei|30.07.18|211||||||||||
Frei|31.07.18|212||||||||||
Frei|01.08.18|213||||||||||
Frei|02.08.18|214||||||||||
Frei|03.08.18|215||||||||||
Frei|04.08.18|216||||||||||
Frei|05.08.18|217||||||||||
Frei|06.08.18|218||||||||||
Frei|07.08.18|219||||||||||
Frei|08.08.18|220||||||||||
Frei|09.08.18|221||||||||||
Frei|10.08.18|222||||||||||
Frei|11.08.18|223||||||||||
Frei|12.08.18|224||||||||||
Frei|13.08.18|225||||||||||
Frei|14.08.18|226||||||||||
Frei|15.08.18|227||||||||||
Frei|16.08.18|228||||||||||
Frei|17.08.18|229||||||||||
Frei|18.08.18|230||||||||||
Frei|19.08.18|231||||||||||
Frei|20.08.18|232||||||||||
Frei|21.08.18|233||||||||||
Frei|22.08.18|234||||||||||
Frei|23.08.18|235||||||||||
Frei|24.08.18|236||||||||||
Frei|25.08.18|237||||||||||
Frei|26.08.18|238||||||||||
Frei|27.08.18|239||||||||||
Frei|28.08.18|240||||||||||
Frei|29.08.18|241||||||||||
Frei|30.08.18|242||||||||||
Frei|31.08.18|243||||||||||
Frei|01.09.18|244||||||||||
Ps 51|02.09.18|245||Psalm 51||||||||
4Mo 1 – 2; 1Tim 1|03.09.18|246||4. Mose 1|4. Mose 2|1.Timotheus 1||||||
4Mo 3 – 4; 1Tim 2|04.09.18|247||4. Mose 3|4. Mose 4|1.Timotheus 2||||||
4Mo 5 – 6; 1Tim 3|05.09.18|248||4. Mose 5|4. Mose 6|1.Timotheus 3||||||
4Mo 7; 1Tim 4|06.09.18|249||4. Mose 7|1.Timotheus 4|||||||
4Mo 8 -10|07.09.18|250||4. Mose 8|4. Mose 9|4. Mose 10||||||
4Mo 11 – 12; 1Tim 5|08.09.18|251||4. Mose 11|4. Mose 12|1.Timotheus 5||||||
Ps 52 u. 53|09.09.18|252||Psalm 52|Psalm 53|||||||
4Mo 13 – 14; 1Tim6|10.09.18|253||4. Mose 13|4. Mose 14|1.Timotheus 6||||||
4Mo 15 – 17                                                                                                                                                       ,5; 2Tim 1|11.09.18|254||4. Mose 15|4. Mose 16|4. Mose 17:1-5|2. Timotheus 1|||||
4Mo 17                                                                                                                                                            ,6 – 18; 2Tim2|12.09.18|255||4. Mose 17:6-28|4. Mose 18|2. Timotheus 2||||||
4Mo 19 - 20; 2Tim3|13.09.18|256||4. Mose 18|4. Mose 20|2. Timotheus 3||||||
4Mo 21; 2Tim 4|14.09.18|257||4. Mose 21|2. Timotheus 4|||||||
4Mo 22 - 24|15.09.18|258||4. Mose 22|4. Mose 23|4. Mose 24||||||
Ps 54 u.55|16.09.18|259||Psalm 54|Psalm 55|||||||
4Mo 25 – 26; Tit1|17.09.18|260||4. Mose 25|4. Mose 26|Titus 1||||||
4Mo 27 – 29|18.09.18|261||4. Mose 27|4. Mose 28|4. Mose 29||||||
4Mo 30 – 31; Tit 2|19.09.18|262||4. Mose 30|4. Mose 31|Titus 2||||||
4Mo 32 – 33; Tit 3|20.09.18|263||4. Mose 32|4. Mose 33|Titus 3||||||
4Mo 34 - 36|21.09.18|264||4. Mose 34|4. Mose 35|4. Mose 36||||||
Frei|22.09.18|265||||||||||
Ps 56 u. 57|23.09.18|266||Psalm 56|Psalm 57|||||||
Frei|24.09.18|267||||||||||
Frei|25.09.18|268||||||||||
Frei|26.09.18|269||||||||||
Frei|27.09.18|270||||||||||
CVH-Vorlesung|28.09.18|271||||||||||
Frei|29.09.18|272||||||||||
Ps 58 u. 59|30.09.18|273||Psalm 58|Psalm 59|||||||
Hiob 1 – 3|01.10.18|274||Hiob 1|Hiob 2|Hiob 3||||||
Hiob 4 - 5 ; Gal 1|02.10.18|275||Hiob 4|Hiob 5|Galater 1||||||
Tag der Deutschen Einheit; Hiob 6 – 7; Gal 2|03.10.18|276||Hiob 6|Hiob 7|Galater 2||||||
Hiob 8 – 10; Gal 3|04.10.18|277||Hiob 8|Hiob 9|Hiob 10|Galater 3|||||
Hiob 11 – 14|05.10.18|278||Hiob 11|Hiob 12|Hiob 13|Hiob 14|||||
Hiob 15; Gal 4 - 5|06.10.18|279||Hiob 15|Galater 4|Galater 5||||||
Ps 61 – 63|07.10.18|280||Psalm 61|Psalm 62|Psalm 63||||||
Hiob 16 – 17; Gal 6|08.10.18|281||Hiob 16|Hiob 17|Galater 6||||||
Hiob 18 – 19; Eph 1|09.10.18|282||Hiob 18|Hiob 19|Epheser 1||||||
Hiob 20 – 21; Eph 2|10.10.18|283||Hiob 20|Hiob 21|Epheser 2||||||
Hiob 22 - 24|11.10.18|284||Hiob 22|Hiob 23|Hiob 24||||||
Hiob 25 – 26; Eph 3|12.10.18|285||Hiob 25|Hiob 26|Epheser 3||||||
Hiob 27 – 28; Eph 4|13.10.18|286||Hiob 27|Hiob 28|Epheser 4||||||
Ps 64 u. 65|14.10.18|287||Psalm 64|Psalm 65|||||||
Hiob 29 – 30; Eph 5|15.10.18|288||Hiob 29|Hiob 30|Epheser 5||||||
Hiob 31; Ehp 6|16.10.18|289||Hiob 31|Epheser 6|||||||
Hiob 32 – 33|17.10.18|290||Hiob 32|Hiob 33|||||||
Hiob 34 - 35|18.10.18|291||Hiob 34|Hiob 35|||||||
Hiob 36 – 37|19.10.18|292||Hiob 36|Hiob 37|||||||
Hiob 38 - 42|20.10.18|293||Hiob 38|Hiob 39|||||||
Ps 66 – 67|21.10.18|294||Psalm 66|Psalm 67|||||||
Frei|22.10.18|295||||||||||
Frei|23.10.18|296||||||||||
Frei|24.10.18|297||||||||||
Frei|25.10.18|298||||||||||
CVH-Vorlesung|26.10.18|299||||||||||
Frei|27.10.18|300||||||||||
Ps 68|28.10.18|301||Psalm 68||||||||
Frei|29.10.18|302||||||||||
Frei|30.10.18|303||||||||||
Frei|31.10.18|304||||||||||
Spr 1 – 3|01.11.18|305||Sprüche 1|Sprüche 2|Sprüche 3||||||
Spr 4 – 7|02.11.18|306||Sprüche 4|Sprüche 5|Sprüche 6|Sprüche 7|||||
Spr 8 – 11|03.11.18|307||Sprüche 8|Sprüche 9|Sprüche 10|Sprüche 11|||||
Ps 69|04.11.18|308||Psalm 69||||||||
Spr 12- 15|05.11.18|309||Sprüche 12|Sprüche 13|Sprüche 14|Sprüche 15|||||
Spr 16 - 18|06.11.18|310||Sprüche 16|Sprüche 17|Sprüche 18||||||
Spr 19 - 22|07.11.18|311||Sprüche 19|Sprüche 20|Sprüche 21|Sprüche 22|||||
Spr 23 – 25|08.11.18|312||Sprüche 23|Sprüche 24|Sprüche 25||||||
Spr 26 – 28|09.11.18|313||Sprüche 26|Sprüche 27|Sprüche 28||||||
Spr 29 – 31|10.11.18|314||Sprüche 29|Sprüche 30|Sprüche 31||||||
Ps 70 – 71|11.11.18|315||Psalm 70|Psalm 71|||||||
CVH-Woche                                                                                                                                                         ,Buch Hiob|12.11.18|316||||||||||
CVH-Woche|13.11.18|317||||||||||
CVH-Woche|14.11.18|318||||||||||
CVH-Woche|15.11.18|319||||||||||
CVH-Woche; Einleitungsfragen Lukas|16.11.18|320||||||||||
Frei|17.11.18|321||||||||||
Ps 72|18.11.18|322||Psalm 72||||||||
5Mo 1 – 2; Da 1|19.11.18|323||5. Mose 1|5. Mose 2|Daniel 1||||||
5Mo 3 – 4; Da 2|20.11.18|324||5. Mose 3|5. Mose 4|Daniel 2||||||
5Mo 5 – 7;|21.11.18|325||5. Mose 5|5. Mose 6|5. Mose 7||||||
5Mo 8 – 9; Da 3 - 4|22.11.18|326||5. Mose 8|5. Mose 9|Daniel 3|Daniel 4|||||
5Mo 10 – 11; Da 5|23.11.18|327||5. Mose 10|5. Mose 11|Daniel 5||||||
5Mo 12 – 13; Da|24.11.18|328||5. Mose 12|5. Mose 13|Daniel 6||||||
Ps 73|25.11.18|329||Psalm 73||||||||
